# Undirected graph: file1.txt
# Random graph generator
# Nodes: 1006 Edges: 2461
# FromNodeId	ToNodeId
0	261
0	410
0	457
0	503
0	871
1	165
1	293
1	425
1	671
1	744
1	840
1	867
1	926
2	42
2	518
2	529
2	679
2	717
2	770
3	90
3	370
3	750
3	804
3	876
4	231
4	354
4	480
4	711
4	838
4	875
5	626
5	885
5	913
6	563
6	880
7	144
7	245
7	381
7	513
7	581
7	822
8	513
8	710
8	790
9	296
9	345
9	590
9	950
9	994
10	106
10	480
10	733
10	853
10	986
11	51
11	137
11	250
11	265
11	422
11	437
11	616
11	647
11	687
11	789
12	558
12	876
13	186
13	355
13	552
13	588
14	456
14	618
14	741
14	836
14	890
14	935
15	326
15	358
15	606
15	852
16	39
16	132
16	138
16	419
16	517
16	561
16	795
16	933
17	176
17	461
17	582
18	40
18	238
18	270
18	611
19	426
19	545
19	549
19	644
19	722
19	971
20	208
20	550
21	176
21	392
21	695
21	738
22	95
22	423
22	430
22	513
22	739
23	63
23	480
23	788
24	202
24	385
24	481
24	687
24	959
24	968
25	173
25	464
25	964
26	51
26	423
26	625
26	685
27	419
27	884
28	138
28	355
28	372
28	938
28	977
28	981
29	312
29	507
29	684
29	908
30	33
30	98
30	467
30	619
30	883
31	211
31	531
31	583
31	715
31	799
31	827
31	924
31	945
32	99
32	127
32	412
32	549
32	560
32	1000
33	30
33	78
33	300
33	319
33	573
33	736
33	987
34	190
34	559
34	561
34	651
34	750
34	833
34	889
35	98
35	302
36	108
36	364
36	377
36	499
36	631
36	872
37	79
37	97
37	164
37	424
37	507
37	831
37	895
38	266
38	330
38	367
38	550
38	660
38	814
38	994
39	16
39	343
39	400
39	422
39	614
39	672
40	18
40	142
40	163
40	174
40	404
40	473
40	621
40	857
40	890
40	899
41	45
41	619
41	902
42	2
42	431
42	522
42	715
42	718
43	239
43	269
43	687
44	79
44	803
44	827
44	952
45	41
45	59
45	70
45	191
45	707
45	746
45	873
45	911
45	918
45	969
45	997
46	468
46	503
46	947
47	119
47	674
47	793
47	868
48	115
48	685
48	880
48	894
50	188
50	275
50	294
50	828
50	862
51	11
51	26
51	179
51	918
51	970
52	140
52	211
52	288
52	906
53	144
53	416
53	511
53	541
53	969
54	128
54	321
54	489
55	61
55	233
55	335
55	537
55	860
55	986
55	997
56	581
56	672
56	680
56	821
56	971
57	199
57	652
57	726
57	923
57	946
58	448
58	460
58	531
58	691
58	776
59	45
59	136
59	181
59	241
59	403
59	513
60	104
60	167
60	216
60	271
60	384
60	385
60	518
60	557
60	601
60	658
60	669
60	722
60	728
60	919
61	55
61	196
61	495
61	745
61	785
61	790
62	188
62	315
62	706
62	709
62	761
62	794
63	23
63	216
63	297
63	475
63	696
63	933
64	194
64	220
64	226
64	417
64	560
64	819
65	153
65	251
65	342
65	457
65	617
65	793
65	907
65	936
66	488
66	643
66	854
66	953
67	450
67	506
67	790
67	906
67	977
68	98
68	271
68	323
68	381
68	457
68	788
68	816
69	575
69	951
70	45
70	214
70	452
70	611
70	721
71	134
71	381
71	457
71	811
71	916
72	332
72	393
72	405
72	414
72	470
72	595
72	658
72	907
73	673
73	947
74	256
74	348
74	368
74	369
74	446
74	570
74	776
75	263
75	271
75	390
75	513
75	517
75	666
75	856
76	158
76	185
76	499
76	529
76	759
76	938
77	103
77	553
77	701
78	33
78	208
78	220
78	237
78	280
78	484
78	605
78	752
79	37
79	44
79	235
79	309
79	359
79	490
79	676
79	709
79	893
80	252
80	279
80	441
80	568
80	683
80	719
80	856
81	113
81	486
81	531
81	712
82	226
82	408
82	815
82	921
82	925
82	998
83	216
83	299
83	409
83	908
83	945
84	338
84	369
85	134
85	315
85	631
85	928
86	170
86	209
86	388
86	403
86	799
86	947
87	826
88	576
88	794
89	584
89	632
89	938
90	3
90	232
90	296
90	378
91	201
91	215
91	259
91	378
91	782
92	298
93	587
93	628
93	757
93	874
95	22
95	269
95	335
95	351
95	487
95	894
96	623
96	626
